aah	[INTERJECTION] surprise, pleasure
swarm	go up using hands and knees
swarthy	dark
swarthy	dark-skinned
swat	give sharp blow
sway	motion from side to side
sway	be controlling
sway	make motion from side to side
swayed	made motion from side to side
swayed	was controlling
swaying	making motion from side to side
swaying	being controlling
sways	makes motion from side to side
sways	is controlling
swear	very strong language
swear	say one certainly will (do)
swear	protesting
swearing	using very strong language
swearing	saying one certainly will (do)
swearing	protesting
swears	uses very strong language
swears	says one certainly will (do)
swears	protests
sweat	wet drops on skin from heat
sweat	drops on the outside
sweat	very hard work
sweater	thick clothing like shirt
sweating	making wet drops on skin from heat
sweating	doing hard work
sweats	makes wet drops on skin from heat
sweats	does hard work
sweep	wide range
sweep	motion from side to side
sweep	cleaner (of smoke-outlets)
sweeping	wide ranging
sweeping	motion from side to side
sweeping	cleaning (of smoke-outlets)
sweeping	very general (statements)
sweeps	takes all
sweeps	makes motion from side to side
sweeps	makes clean
sweet	sweet
sweetened	sweetened
sweetener	sweetener
sweeteners	sweeteners
sweetening	sweetening
sweetenings	sweetenings
sweeter	sweeter
sweetest	sweetest
sweetheart	sweetheart
sweethearts	sweethearts
sweetly	sweetly
sweets	sweets
swell	get greater
swell	increase
swell	motion of sea
swell	good (society)
swelled	got greater
swelled	increased
swelling	getting greater
swelling	increasing
swelling	[science]
swellings	parts getting greater
swellings	increasings
swellings	[science]
swells	gets greater
swells	persons in good society
swells	increases
swells	motions of sea
swells	[science]
swelter	be unpleasingly warm
swelter	overcome by heat
sweltered	was unpleasingly warm
sweltered	overcome by heat
sweltering	very warm in the sun
sweltering	(boiling) in the heat
swelters	is unpleasingly warm
swept	took all
swept	made clean
swerve	change of direction
swerve	turning to the side
swerve	go off in another direction
swift	quick
swift	sort of long winged bird
swim	swim
swimmer	swimmer
swimmers	swimmers
swimming	swimming
swimmingly	swimmingly
swimmings	swimmings
swims	swims
swindle	get money by false statement
swindle	get by a trick
swindled	got money by false statement
swindled	got by a trick
swindler	person getting money by false statement
swindler	tricker to get money
swindles	false statements to get money
swindles	gets by a tricks
swindling	getting money by false statement
swindling	getting by a trick
swine	pigs
swine	low person
swing	curving motion
swing	go from side to side
swing	be hanging
swing	[second]
swinger	thing to let curving motion
swinger	go from side to side
swinger	[second]
swinging	curving motion
swinging	going from side to side
swinging	be hanging
swinging	[second]
swings	curving motions
swings	goes from side to side
swings	be hanging
swings	[second]
switch	thin branch
switch	go from one thing to another
switch	whip
switch	get (train) onto another line
switch	electric button
switch	put electric light on
switch	put current on or off
switched	changed with another
switched	got whipping
switched	got (train) onto another line
switched	put electric light on
switches	goes from one thing to another
switches	electric buttons
switches	puts electric light on
switching	going from one thing to another 
switching	electric apparatus
switching	putting electric light on
swivel	joining part that go round
swivel	go round
swiveled	went round
swiveling	going round
swivels	joining parts that go round
swivels	goes round
swollen	got greater
swollen	increased
swoon	loss of conscious feeling
swoop	come down suddenly
swoops	goes forward
sword	military blade
sword	long knife
sword	[verse]
swords	military blades
swords	long knives
swords	[verse]
swore	said with force, shocking language
swore	took OATH
swore	used strong, shocking language
sworn	(made) with statement is true
swum	swum
swum	swam
swung	moved in a curve
swung	was free in motion
swung	[second]
sybarite	person who is comfort-loving, soft
sycamore	sort of great tree
sycophant	person making over-great attempt to be pleasing
sycophants	persons making over-great attempt to be pleasing
syllabaries	systems of signs for sounds
syllabary	system of signs for sounds
syllabi	outlines
syllabi	small accounts
syllabic	of, in word divisions
syllabise	make division into sounds
syllabize	make division into sounds
syllable	unit sound (of word)
syllabus	outline
syllabus	small account
syllabuses	outlines
syllabuses	small accounts
syllogism	a form of reasoning
syllogism	reasoning from two statements to a third
syllogisms	forms of reasoning
syllogisms	reasonings from two statements to a third
sylph	fiction being of the air
sylph	delicately-made girl
sylvan	of the woods
sylvan	wooded
symbol	(special) sign
symbol	regularly used signs of something
symbolic	used as sign of something
symbolize	be a sign of 
symbolize	make use of signs
symbolized	was a sign of 
symbolized	made use of signs
symbolizes	is a sign of 
symbolizes	makes use of signs
symbolizing	being a sign of 
symbolizing	making use of signs
symbols	(special) signs
symbols	regularly used sign of something
symmetric	balanced
symmetric	like in size
symmetric	like in form
symmetry	balance of parts, right relation
symmetry	equal, same on two sides
sympathetic	full of the same feelings
sympathetic	caused by reaction in some other thing
sympathetic	[second]
sympathies	kind feelings for one in trouble
sympathies	feelings in the same way
sympathies	in agreement with
sympathise	giving signs of having the same feelings
sympathised	gave signs of having the same feelings
sympathiser	one having the same feelings
sympathises	gives signs of having the same feelings
sympathising	giving signs of having the same feelings
sympathize	giving signs of having the same feelings
sympathized	gave signs of having the same feelings
sympathizer	one having the same feelings
sympathizes	gives signs of having the same feelings
sympathizing	giving signs of having the same feelings
sympathy	kind feelings for one in trouble
sympathy	feeling in the same way
sympathy	in agreement with for orchestra
symphonies	long music works
symphony	long music work
symptom	sign of (disease)
symptom	sign of existence of something
symptomatic	making sign of (disease, existence)
symptoms	signs of (disease)
symptoms	signs of existence of something
synagogue	house of religion
synagogues	houses of religion
sync	(make) take place at the same time
synchronization	taking place at the same time
synchronize	make take place at the same time
synchronized	made to take place at the same time
synchronizes	makes take place at the same time
synchronizing	making take place at the same time
synchronous	taking place at the same time
syncopate	make word shorter by dropping letters
syncopate	sort of music rhythm
syncopation	rhythm
syncopation	JAZZ
syndicate	body of businessmen united for some purpose
syndicate	get formed into body for a purpose
syndrome	number of signs together
syndrome	signs taken to say what a thing is
synod	meeting of churchmen
synonym	word having same sense as another
synonymous	has same sense
synonyms	words having same sense as another
synopsis	outline of chief points (of a book)
synopsize	make outline of chief points (of a book)
synopsized	made outline of chief points (of a book)
synopsizes	makes outline of chief points (of a book)
synopsizing	making outline of chief points (of a book)
synoptic	giving a general view
syntactic	using rules of language
syntactically	in a way of putting words together
syntax	(rules for) putting of words together
synthesis	uniting
synthesis	put together from separate parts
synthesize	putting together from separate parts
synthesized	put together from separate parts
synthesizer	electric sound-making machine
synthesizers	make put together from separate parts
synthesizes	puts together from separate parts
synthesizing	putting together from separate parts
